"ID","Effect","EffectAmplitude","EffectAura","EffectAuraPeriod","EffectBasePoints","EffectUnk_320","EffectChainAmplitude","EffectChaintargets","EffectDieSides","EffectItemType","EffectMechanic","EffectMiscValue","EffectMiscValueB","EffectPointsPerCombo","EffectRadiusIndex","EffectRadiusMaxIndex","EffectRealPointsPerLevel","EffectSpellClassMask_1","EffectSpellClassMask_2","EffectSpellClassMask_3","EffectTriggerSpell","ImplicitTargetA","ImplicitTargetB","EffectSpellId","EffectIndex","Field26"
"25","6","0","13","0","2","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","43","0","0"
"68809","98","0","0","0","56","0","1","0","37","0","0","75","0","0","8","0","0","0","0","0","0","22","15","45","1","0"
"27","6","1","31","0","300","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","47","0","0"
"28","10","1","0","0","1000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","49","0","0"
"29","77","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","50","0","0"
"32","80","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","53","2","0"
"31","31","0","0","0","109","1","1","0","0","0","0","0","0","0","0","0","1.468","0","0","0","0","6","0","53","1","0"
"30","121","0","0","0","10","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","53","0","0"
"33","6","1","12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","56","0","0"
"34","2","1","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","0","0"
"35","2","1","0","0","0","1","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","6","0","59","0","0"
"36","2","1","0","0","5","1","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","6","0","60","0","0"
"37","2","1","0","0","10","1","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","6","0","61","0","0"
"38","6","1","189","0","20","0","1","0","0","0","0","917504","0","0","0","0","0","0","0","0","0","1","0","65","0","0"
"40","0","0","0","0","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","2","0"
"39","6","0","23","1000","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","35009","1","0","66","1","0"
"42","2","0","0","0","4","1.3","1","0","12","0","0","0","0","0","0","0","0","0","0","0","0","6","0","68","0","0"
"43","6","0","36","0","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","0","0","1","0","71","0","0"
"46","58","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","75","0","0"
"48","6","0","10","0","0","0","1","0","0","0","0","127","0","0","0","0","0","0","0","0","0","1","0","77","1","0"
"47","6","0","22","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","77","0","0"
"50","3","0","0","0","60","0","1","0","0","0","0","0","0","0","0","0","0.5","0","0","0","0","6","0","78","1","0"
"49","2","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","78","0","0"
"51","20","1","0","0","0","1","1","0","6","0","0","90","0","0","0","0","0","0","0","0","0","0","0","81","0","0"
"55","6","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","87","2","0"
"54","6","0","77","0","0","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","1","0","87","1","0"
"53","6","0","77","0","0","0","1","0","0","0","0","29","0","0","0","0","0","0","0","0","0","1","0","87","0","0"
"58","6","0","33","0","-40","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","89","2","0"
"57","6","0","140","0","-20","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","6","0","89","1","0"
"56","6","0","138","0","-20","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","6","0","89","0","0"
"59","6","0","22","0","-10","0","1","0","0","0","0","1","0","0","0","0","-1","0","0","0","0","6","0","91","0","0"
"61","6","0","3","2000","1248","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","96","1","0"
"60","31","0","0","0","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","96","0","0"
"62","6","0","79","0","-10","0","1","0","0","0","0","1","0","0","0","13","0","0","0","0","0","22","15","99","0","0"
"64","3","0","0","0","150","0","1","0","0","0","0","0","0","0","36","36","0","0","0","0","0","1","0","100","1","0"
"63","96","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","100","0","0"
"68","80","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","101","2","0"
"67","2","0","0","0","10","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","101","1","0"
"66","6","0","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","101","0","0"
"69","23","1","0","0","0","1","1","0","6","0","0","90","0","0","0","0","0","0","0","0","0","0","0","107","0","0"
"70","21","1","0","0","0","1","1","0","6","0","0","90","0","0","0","0","0","0","0","0","0","0","0","108","0","0"
"71","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","0","0"
"72","6","0","22","0","20","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","111","0","0"
"73","6","1","28","0","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","112","0","0"
"68810","6","0","26","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","113","0","0"
"77","6","0","118","0","0","0","1","0","0","0","0","127","0","0","0","0","0","0","0","0","0","6","0","116","2","0"
"76","2","0","0","0","17","0.943","1","0","3","0","0","0","0","0","0","0","0.5","0","0","0","0","6","0","116","1","0"
"75","6","0","33","0","-40","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","6","0","116","0","0"
"79","6","0","56","0","0","0","1","0","0","0","0","16372","0","0","0","0","0","0","0","0","0","6","0","118","1","0"
"78","6","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","118","0","0"
"82","6","0","118","0","0","0","1","0","0","0","0","127","0","0","32","0","0","0","0","0","0","104","0","120","2","0"
"81","2","0","0","0","97","0.214","1","0","11","0","0","0","0","0","32","0","0.8","0","0","0","0","104","0","120","1","0"
"80","6","0","33","0","-60","0","1","0","0","0","11","0","0","0","32","0","0","0","0","0","0","104","0","120","0","0"
"84","6","0","26","0","0","0","1","0","0","0","7","0","0","0","0","32","0","0","0","0","0","22","15","122","1","0"
"83","2","0","0","0","18","0.193","1","0","3","0","0","0","0","0","0","32","0.5","0","0","0","0","22","15","122","0","0"
"85","77","0","0","0","0","0","1","0","0","0","0","0","0","0","10","23","0","0","0","0","0","18","8","124","0","0"
"87","6","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","126","1","0"
"86","28","1","0","0","1","0","1","0","0","0","0","4277","65","0","12","0","0","0","0","0","0","32","0","126","0","0"
"88","6","0","105","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","0","130","0","0"
"89","6","0","82","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","131","0","0"
"91","2","0","0","0","13","1.236","1","0","9","0","0","0","0","0","0","0","0.6","0","0","0","0","6","0","133","0","0"
"93","6","0","23","3000","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3052","21","0","134","0","0"
"94","6","0","20","2000","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","136","0","0"
"95","6","0","8","3000","1","0.131","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","139","0","0"
"96","2","1","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","6","0","142","0","0"
"98","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172","1","0"
"97","6","0","3","3000","10","0.176","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","172","0","0"
"68811","6","0","23","3000","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3053","21","0","184","0","0"
"101","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","1","0"
"100","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","0","0"
"103","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","197","1","0"
"102","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","197","0","0"
"105","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","198","1","0"
"104","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","198","0","0"
"107","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","199","1","0"
"106","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","199","0","0"
"109","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","1","0"
"108","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","0","0"
"111","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","201","1","0"
"110","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","201","0","0"
"113","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","202","1","0"
"112","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","202","0","0"
"114","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","203","0","0"
"115","26","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","204","0","0"
"117","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","227","1","0"
"116","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","227","0","0"
"120","6","1","79","0","-66","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","228","2","0"
"119","6","0","27","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","228","1","0"
"118","6","0","56","0","0","0","1","0","0","0","0","620","0","0","0","0","0","0","0","0","0","6","0","228","0","0"
"68813","6","0","33","0","-35","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","6","0","246","1","0"
"68812","6","0","138","0","-35","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","6","0","246","0","0"
"123","6","0","6","0","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","260","0","0"
"124","28","1000","0","0","3","0","1","0","0","0","0","48","61","0","0","0","0","0","0","0","0","0","0","261","0","0"
"128","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","264","1","0"
"127","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","264","0","0"
"129","1","0","0","0","1","0","1","0","0","0","0","0","0","0","9","0","0","0","0","0","0","15","0","265","0","0"
"131","60","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266","1","0"
"130","25","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266","0","0"
"132","27","0","3","1000","5","0","1","0","0","0","0","0","0","0","7","0","0","0","0","0","0","16","0","269","0","0"
"133","9","2","0","0","8","1","1","0","0","0","0","0","0","0","0","0","1.5","0","0","0","0","6","0","271","0","0"
"140","6","0","42","0","13","0.267","1","0","0","0","0","0","0","0","0","0","0","0","0","0","26364","1","0","324","0","0"
"141","10","0","0","0","33","0.302","0.2","0","11","0","0","0","0","0","0","0","0.7","0","0","0","0","45","0","331","0","0"
"142","6","0","26","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","339","0","0"
"146","6","0","3","3000","1","0.176","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","348","2","0"
"145","2","0","0","0","1","0.22","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","348","1","0"
"144","77","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","348","0","0"
"148","6","0","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","355","1","0"
"147","114","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","355","0","0"
"149","38","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","370","0","0"
"150","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","379","0","0"
"151","2","0","0","0","12","0.714","1","0","3","0","0","0","0","0","0","0","0.4","0","0","0","0","6","0","403","0","0"
"154","6","0","87","0","0","0","1","0","0","0","0","127","0","0","0","0","0","0","0","0","0","6","0","408","2","0"
"152","6","0","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","408","0","0"
"155","2","0","0","0","190","0.571","0.7","3","27","0","0","0","0","0","0","0","1.9","0","0","0","0","6","0","421","0","0"
"156","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","427","0","0"
"157","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","428","0","0"
"159","6","0","226","2200","42","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","430","1","0"
"158","6","0","85","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","430","0","0"
"161","6","0","226","2200","104","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","431","1","0"
"160","6","0","85","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","431","0","0"
"163","6","0","226","2200","174","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","432","1","0"
"162","6","0","85","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","432","0","0"
"164","6","1","84","0","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","433","0","0"
"165","6","1","84","0","58","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","434","0","0"
"166","6","1","84","0","115","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","435","0","0"
"167","30","0","0","0","69","0","1","0","21","0","0","0","0","0","0","0","0","0","0","0","0","1","0","436","0","0"
"168","30","0","0","0","139","0","1","0","41","0","0","0","0","0","0","0","0","0","0","0","0","1","0","437","0","0"
"169","30","0","0","0","279","0","1","0","81","0","0","0","0","0","0","0","0","0","0","0","0","1","0","438","0","0"
"170","10","1","0","0","69","0","1","0","21","0","0","0","0","0","0","0","0","0","0","0","0","1","0","439","0","0"
"171","10","1","0","0","139","0","1","0","41","0","0","0","0","0","0","0","0","0","0","0","0","1","0","440","0","0"
"172","10","1","0","0","279","0","1","0","81","0","0","0","0","0","0","0","0","0","0","0","0","1","0","441","0","0"
"173","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","442","0","0"
"174","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","443","0","0"
"175","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","444","0","0"
"176","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","445","0","0"
"177","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","446","0","0"
"178","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","447","0","0"
"179","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","448","0","0"
"180","6","0","91","0","-10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","453","0","0"
"181","6","0","32","0","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","454","0","0"
"182","77","0","0","0","0","0","1","0","0","0","0","0","0","0","12","0","0","0","0","0","0","22","15","456","0","0"
"184","6","0","78","0","0","0","1","0","0","0","0","284","230","0","0","0","0","0","0","0","0","1","0","458","0","0"
"186","6","0","78","0","0","0","1","0","0","0","0","4268","230","0","0","0","0","0","0","0","0","1","0","459","0","0"
"188","35","0","15","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","461","0","0"
"191","35","0","34","0","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","463","2","0"
"190","35","0","14","0","10","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","463","1","0"
"189","35","0","13","0","5","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","463","0","0"
"194","35","0","35","0","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","464","2","0"
"193","35","0","14","0","5","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","464","1","0"
"192","35","0","13","0","10","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","464","0","0"
"195","65","0","22","0","55","0","1","0","0","0","0","1","0","0","23","23","0","0","0","0","0","1","0","465","0","0"
"196","6","0","15","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","467","0","0"
"197","6","0","78","0","0","0","1","0","0","0","0","305","230","0","0","0","0","0","0","0","0","1","0","468","0","0"
"95932","64","0","0","0","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","92049","1","0","469","1","0"
"199","6","0","29","0","1080","1","1","0","0","0","0","2","0","0","10","0","0","0","0","0","0","56","0","469","0","0"
"201","6","0","78","0","0","0","1","0","0","0","0","308","230","0","0","0","0","0","0","0","0","1","0","470","0","0"
"203","6","0","78","0","0","0","1","0","0","0","0","306","230","0","0","0","0","0","0","0","0","1","0","471","0","0"
"205","6","0","78","0","0","0","1","0","0","0","0","307","230","0","0","0","0","0","0","0","0","1","0","472","0","0"
"207","38","0","0","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","21","0","475","0","0"
"209","36","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","483","0","0"
"210","33","0","0","0","15","0","1","0","0","0","0","1","0","0","0","0","5","0","0","0","0","26","0","491","0","0"
"92080","6","0","87","0","-20","0","1","0","0","0","0","126","0","0","0","0","0","0","0","0","0","1","0","498","2","0"
"212","6","0","87","0","-20","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","498","1","0"
"211","0","0","0","0","-100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","498","0","0"
"213","6","0","26","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","512","0","0"
"214","43","0","0","0","0","0","1","0","0","0","0","0","0","0","13","0","0","0","0","0","0","25","47","514","0","0"
"215","28","0","0","0","1","1","1","0","0","0","0","15630","61","0","0","0","0","0","0","0","0","17","0","518","0","0"
"216","37","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","522","0","0"
"104356","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","527","1","0"
"217","3","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","527","0","0"
"218","38","0","0","0","1","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","21","0","528","0","0"
"219","6","0","2","0","100","1","1","0","0","0","0","0","0","0","22","0","0","0","0","0","0","25","0","530","0","0"
"83297","6","1","74","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","543","1","0"
"83296","6","0","69","0","165","0","1","0","0","0","0","84","0","0","0","0","0","0","0","0","0","1","0","543","0","0"
"220","6","0","104","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","546","0","0"
"221","6","0","41","0","1","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","21","0","550","0","0"
"222","28","1000","0","0","1","0","1","0","0","0","0","852","61","0","0","0","0","0","0","0","0","18","0","555","0","0"
"223","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","556","0","0"
"224","36","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8928","1","0","563","0","0"
"227","6","0","33","0","-70","1","1","0","0","0","0","0","0","0","13","0","0","0","0","0","0","22","15","568","2","0"
"226","98","0","0","0","179","1","1","0","41","0","0","180","0","0","13","0","0","0","0","0","0","22","15","568","1","0"
"225","2","0","0","0","4049","1","1","0","901","0","0","0","0","0","13","0","0","0","0","0","0","22","15","568","0","0"
"228","6","0","78","0","0","0","1","0","0","0","0","356","230","0","0","0","0","0","0","0","0","1","0","578","0","0"
"230","6","0","78","0","0","0","1","0","0","0","0","4270","230","0","0","0","0","0","0","0","0","1","0","579","0","0"
"232","6","0","78","0","0","0","1","0","0","0","0","358","230","0","0","0","0","0","0","0","0","1","0","580","0","0"
"234","6","0","78","0","0","0","1","0","0","0","0","359","230","0","0","0","0","0","0","0","0","1","0","581","0","0"
"236","2","0","0","0","12","0.856","1","0","5","0","0","0","0","0","0","0","0.5","0","0","0","0","6","0","585","0","0"
"237","6","0","103","0","-90000000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","586","0","0"
"238","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","587","0","0"
"241","6","0","13","0","0","0","1","0","0","0","0","126","0","0","0","0","0","0","0","0","0","1","0","588","2","0"
"240","6","0","135","0","0","0","1","0","0","0","0","127","0","0","0","0","0","0","0","0","0","1","0","588","1","0"
"239","6","0","101","0","60","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","588","0","0"
"242","6","0","3","3000","5","0.161","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","589","0","0"
"105332","64","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","98367","21","0","596","1","0"
"243","10","0","0","0","1","0.34","1","0","0","0","0","0","0","0","10","10","0","0","0","0","0","21","37","596","0","0"
"244","24","0","0","0","2","0","1","0","0","1113","0","0","0","0","0","0","2","0","0","0","0","1","0","597","0","0"
"245","6","0","98","0","3","0","1","0","0","0","0","43","0","0","0","0","0","0","0","0","0","1","0","601","0","0"
"86707","0","0","0","0","20","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","603","1","0"
"246","6","0","3","15000","1","0.88","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","603","0","0"
"249","6","0","138","0","-25","0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","6","0","605","2","0"
"248","6","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","605","1","0"
"247","6","0","2","0","41","0","1","0","0","0","0","0","0","0","12","0","1","0","0","0","0","6","0","605","0","0"
"250","6","0","64","5000","360","0.1","1","0","0","0","0","0","0","0","0","0","15","0","0","0","0","6","0","606","0","0"
"251","67","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","633","0","0"
"253","10","0","0","0","49","0.432","1","0","11","0","0","0","0","0","0","0","0.8","0","0","0","0","21","0","635","0","0"
"256","6","0","39","0","0","0","1","0","0","0","0","126","0","0","0","0","0","0","0","0","0","1","0","642","2","0"
"255","6","0","39","0","0","0","1","0","0","0","0","127","0","0","0","0","0","0","0","0","0","1","0","642","1","0"
"254","6","0","79","0","-50","0","1","0","0","0","0","127","0","0","0","0","0","0","0","0","0","1","0","642","0","0"
"257","39","0","0","0","0","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","668","0","0"
"258","39","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","669","0","0"
"259","39","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","670","0","0"
"260","39","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","671","0","0"
"261","39","0","0","0","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","672","0","0"
"262","6","0","22","0","25","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","7183","1","0","673","0","0"
"263","40","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","674","0","0"
